absorbuoti, absorbuoja, absorbavo
dirginti, dirgina, dirgino
dirgti, dirgsta, dirgo
diriguoti, diriguoja, dirigavo
dirstelėti, dirstelėja, dirstelėjo
dirti, diria, dyrė
diskutuoti, diskutuoja, diskutavo
dobti, dobia, dobė
dominti, domina, domino
dominuoti, dominuoja, dominavo
doroti, doroja, dorojo
dovanoti, dovanoja, dovanojo
drabstyti, drabsto, drabstė
dramatizuoti, dramatizuoja, dramatizavo
drąsinti, drasina, drasino
drąskyti, drasina, drasino
draskyti, drasko, draskė
draugauti, draugauja, draugavo
drausti, draudžia, draudė
drebėti, dreba, drebėjo
drebinti, drebina, drebino
drėbti, drebia, drėbė
drėgti, drėgsta, drėgo
dreifuoti, dreifuoja, dreifavo
drėksti, dreskia, drėskė
drėkti, drėksta, drėko
dribti, drimba, dribo
drįsti, drįsta, drįso
drožti, drožia, drožė
drumsti, drumsčia, drumstė
drybsoti, drybso, drybsojo
dubliuoti, dubliuoja, dubliavo
dubti, dumba, dubo
dūgzti, dūzgia, dūzgė
dūkti, dūksta, dūko
dulkinti, dulkina, dulkino
dulksnoti, dulksnoja, dulksnojo
dumti, dumia, dūmė
dundėti, dunda, dundėjo
duoti, duoda, davė
durti, duria, dūrė
dūsauti, dūsauja, dūsavo
dusinti, dusina, dusino
dusti, dūsta, duso
dvejoti, dvejoja, dvejojo
dvelkti, dvelkia, dvelkė
dvėsti, dvesia, dvėsė
dvigubinti, dvigubina, dvigubino
dvokti, dvokia, dvokė
dygti, dygsta, dygo
dykinėti, dykinėja, dykinėjo
džiauti, džiauna, džiovė
džiovinti, džiovina, džiovino
džiūgauti, džiūgauja, džiūgavo
džiuginti, džiugina, džiugino
džiūti, džiūsta, džiuvo
egzistuoti, egzistuoja, egzistavo
eidinėti, eidinėja, eidinėjo
eikvoti, eikvoja, eikvojo
eiliuoti, eiliuoja, eiliavo
eiti, eina, ėjo
eksperimentuoti, eksperimentuoja, eksperimentavo
ekzaminuoti, ekzaminuoja, ekzaminavo
ekzistuoti, ekzistuoja, ekzistavo
elektrifikuoti, elektrifikuoja, elektrifikavo
elgegauti, elgetauja, elgetavo
elgetauti, elgetauja, elgetavo
ėmėti, ėmėja, ėmėjo
emigruoti, emigruoja, emigravo
emuliuoti, emuliuoja, emuliavo
engti, engia, engė
erzinti, erzina, erzino
ėsti, ėda, ėdė
evakuoti, evakuoja, evakavo
fantazuoti, fantazuoja, fantazavo
figūruoti, figūruoja, figūravo
filmuoti, filmuoja, filmavo
filosofuoti, filosofuoja, filosofavo
finansuoti, finansuoja, finansavo
flirtuoti, flirtuoja, flirtavo
fokusuoti, fokusuoja, fokusavo
forminti, formina, formino
formuoti, formuoja, formavo
fotografuoti, fotografuoja, fotografavo
funkcionuoti, funkcionuoja, funkcionavo
gabenti, gabena, gabeno
gadinti, gadina, gadino
gagėti, gaga, gagėjo
gailėti, gaili, gailėjo
gaišti, gaišta, gaišo
gaivinti, gaivina, gaivino
galąsti, galanda, galando
galėti, gali, galėjo
galioti, galioja, galiojo
galvoti, galvoja, galvojo
gaminti, gamina, gamino
ganyti, gano, ganė
garantuoti, garantuoja, garantavo
garbanoti, garbanoja, garbanojo
garbinti, garbina, garbino
garsėti, garsėja, garsėjo
garuoti, garuoja, garavo
gąsdinti, gąsdina, gąsdino
gąstauti, gąstauja, gąstavo
gaubti, gaubia, gaubė
gaudyti, gaudo, gaudė
gausėti, gausėja, gausėjo
gauti, gauna, gavo
gebėti, geba, gebėjo
gedėti, gedi, gedėjo
gėdinti, gėdina, gėdino
gėdyti, gėdyja, gėdyjo
geibti, geibsta, geibo
geisti, geidžia, geidė
gelbėti, gelbėja, gelbėjo
gelsti, gelsta, gelto
gelsvinti, gelsvina, gelsvino
gelti, gelia, gėlė
geltonėti, geltonėja, geltonėjo
geltoninti, geltonina, geltonino
geltonuoti, geltonuoja, geltonavo
genėti, genėja, genėjo
gerbti, gerbia, gerbė
gerėti, gerėja, gerėjo
gerinti, gerina, gerino
gerti, geria, gėrė
gervuogiauti, gervuogiauja, gervuogiavo
gesinti, gesina, gesino
gesti, genda, gedo
giedoti, giedoja, giedojo
giedrėti, giedrėja, giedrėjo
giedryti, giedrija, giedrijo
gilėti, gilėja, gilėjo
gilinti, gilina, gilino
gilti, gyla, gylė
gimdyti, gimdo, gimdė
gimti, gimsta, gimė
ginčyti, ginčija, ginčijo
ginkluoti, ginkluoja, ginklavo
ginti, gina, gynė
girdėti, girdi, girdėjo
girdyti, girdo, girdė
girgždėti, girgžda, girgždėjo
girtauti, girtauja, girtavo
girti, giria, gyrė
gižti, gyžta, gižo
glamonėti, glamonėja, glamonėjo
glaudyti, glaudo, glaudė
glausti, glaudžia, glaudė
glėbti, glėbia, glėbė
glerti, glęra, glero
gležti, glęžta, gležo
globoti, globoja, globojo
glostyti, glosto, glostė
glūdėti, glūdi, glūdėjo
gnaibyti, gnaibo, gnaibė
gniuždyti, gniuždo, gniuždė
gniužti, gniužta, gniužo
gnybtelėti, gnybtelėja, gnybtelėjo
gnybti, gnybia, gnybė
godėti, godi, godėjo
grabinėti, grabinėja, grabinėjo
graibyti, graibo, graibė
gramdyti, gramdo, gramdė
grasinti, grasina, grasino
graudenti, graudena, graudeno
graudinti, graudina, graudino
graužti, graužia, graužė
graviruoti, graviruoja, graviravo
gražėti, gražėja, gražėjo
gražinti, gražina, gražino
grąžinti, gražina, gražino
grėbti, grėbia, grėbė
greitinti, greitina, greitino
grėsti, gresia, grėsė
gręžti, gręžia, gręžė
griaudėti, griaudėja, griaudėjo
griausti, griaudžia, griaudė
griauti, griauna, griovė
griebti, griebia, griebė
grieti, grieja, griejo
griežti, griežia, griežė
griežtinti, griežtina, griežtino
grimti, grima, grimo
grimuoti, grimuoja, grimavo
grimzti, grimzta, grimzdo
grįsti, grindžia, grindė
griūti, griūva, griuvo
grįžti, grįžta, grįžo
grizti, gryzta, grizo
grobstyti, grobsto, grobstė
grobti, grobia, grobė
groti, groja, grojo
grūdinti, grūdina, grūdino
grūmoti, grūmoja, grūmojo
grūsti, grūsta, grūdo
grybauti, grybauja, grybavo
grybštelėti, grybštelėja, grybštelėjo
gudrauti, gudrauja, gudravo
gudrėti, gudrėja, gudrėjo
guglinti, guglina, guglino
gugti, gunga, gugo
guldyti, guldo, guldė
gulėti, guli, gulėjo
gulti, gula, gulė
gundyti, gundo, gundė
guosti, guodžia, guodė
gurkšnoti, gurkšnoja, gurkšnojo
gverti, gvęra, gvero
gvildenti, gvildena, gvildeno
gydyti, gydo, gydė
gyti, gyja, gijo
gyventi, gyvena, gyveno
gyvėti, gyvėja, gyvėjo
gyvinti, gyvina, gyvino
gyvuoti, gyvuoja, gyvavo
hipnotizuoti, hipnotizuoja, hipnotizavo
identifikuoti, identifikuoja, identifikavo
ieškoti, ieško, ieškojo
ignoruoti, ignoruoja, ignoravo
ilgėti, ilgėja, ilgėjo
ilsėti, ilsi, ilsėjo
ilsinti, ilsina, ilsino
imigruoti, imigruoja, imigravo
imituoti, imituoja, imitavo
imponuoti, imponuoja, imponavo
importuoti, importuoja, importavo
improvizuoti, improvizuoja, improvizavo
imti, ima, ėmė
infekuoti, infekuoja, infekavo
informuoti, informuoja, informavo
inkšti, inkščia, inkštė
inspiruoti, inspiruoja, inspiravo
integruoti, integruoja, integravo
interpretuoti, interpretuoja, interpretavo
investuoti, investuoja, investavo
irkluoti, irkluoja, irklavo
irti, yra, iro
issigąsti, išsigąsta, išsigando
isšikeroti, išsikeroja, išsikerojo
izoliuoti, izoliuoja, izoliavo
jaudinti, jaudina, jaudino
jaukinti, jaukina, jaukino
jaukti, jaukia, jaukė
jausti, jaučia, jautė
jodinėti, jodinėja, jodinėjo
joti, joja, jojo
judėti, juda, judėjo
judinti, judina, judino
jungti, jungia, jungė
juodėti, juodėja, juodėjo
juodinti, juodina, juodino
juoduoti, juoduoja, juodavo
juokauti, juokauja, juokavo
juokinti, juokina, juokino
justi, junta, juto
kabėti, kaba, kabėjo
kabinti, kabina, kabino
kaboti, kabo, kabojo
kainuoti, kainuoja, kainavo
kaišioti, kaišioja, kaišiojo
kaisti, kaista, kaito
kaitinti, kaitina, kaitino
kakoti, kakoja, kakojo
kalbėti, kalba, kalbėjo
kalbinti, kalbina, kalbino
kaldinti, kaldina, kaldino
kalėti, kali, kalėjo
kalti, kala, kalė
kaltinti, kaltina, kaltino
kamšyti, kamšo, kamšė
kamuoti, kamuoja, kamavo
kandidatuoti, kandidatuoja, kandidatavo
kandžioti, kandžioja, kandžiojo
kankinti, kankina, kankino
kariauti, kariauja, kariavo
karpyti, karpo, karpė
karščiuoti, karščiuoja, karščiavo
karšinti, karšina, karšino
karšti, karšina, karšino
karsti, karsta, karto
karti, karia, korė
kartoti, kartoja, kartojo
karūnuoti, karūnuoja, karūnavo
kasinėti, kasinėja, kasinėjo
kasti, kasa, kasė
kąsti, kaso, kasė
kasyti, kaso, kasė
kaukti, kaukia, kaukė
kaulėti, kaulėja, kaulėjo
kaupti, kaupia, kaupė
kaustyti, kausto, kaustė
kauti, kauna, kovė
kavoti, kavoja, kavojo
kedenti, kedena, kedeno
keiksnoti, keiksnoja, keiksnojo
keikti, keikia, keikė
keisti, keičia, keitė
keliauti, keliauja, keliavo
kelti, kelia, kėlė
kenkti, kenkia, kenkė
kentėti, kenčia, kentėjo
kepinti, kepinta, kepino
kepti, kepa, kepė
kerėti, keri, kerėjo
kergti, kergia, kergė
kerpėti, kerpėja, kerpėjo
kerštauti, kerštauja, kerštavo
