absorbuoti, absorbuoja, absorbavo
posėdžiauti, posėdžiauja, posėdžiavo
pozuoti, pozuoja, pozavo
prekiauti, prekiauja, prekiavo
prenumeruoti, prenumeruoja, prenumeravo
prognozuoti, prognozuoja, prognozavo
programuoti, programuoja, programavo
protestuoti, protestuoja, protestavo
pūkšti, pūška, pūškė
puldinėti, puldinėja, puldinėjo
pūliuoti, pūliuoja, pūliavo
pulsuoti, pulsuoja, pulsavo
pulti, puola, puolė
pumpuoti, pumpuoja, pumpavo
puoselėti, puoselėja, puoselėjo
puošti, puošia, puošė
purenti, purena, pureno
purkšti, purškia, purškė
purti, pūra, puro
purtyti, purto, purtė
purvinti, purvina, purvino
pūškuoti, pūškuoja, pūškavo
pūsti, pučia, pūtė
pustyti, pusto, pustė
pūti, pūva, puvo
putoti, putoja, putojo
pykdyti, pykdo, pykdė
pykinti, pykina, pykino
pykti, pyksta, pyko
pypsėti, pypsi, pypsėjo
pypsinti, pypsina, pypsino
pyškėti, pyška, pyškėjo
ragauti, ragauja, ragavo
raginti, ragina, ragino
raikyti, raiko, raikė
raitoti, raitoja, raitojo
raityti, raito, raitė
raiyti, raito, raitė
raižioti, raižioja, raižiojo
raižyti, raižo, raižė
rakinti, rakina, rakino
raminti, ramina, ramino
rangyti, rango, rangė
rankyti, ranko, rankė
rašinėti, rašinėja, rašinėjo
rasoti, rasoja, rasojo
rasti, randa, rado
rašyti, rašo, rašė
raudonėti, raudonėja, raudonėjo
raudoninti, raudonina, raudonino
raudonuoti, raudonuoja, raudonavo
raudoti, rauda, raudojo
rauginti, raugina, raugino
raugti, raugia, raugė
raukšlėti, raukšlėja, raukšlėjo
raukti, raukia, raukė
rausti, rausta, raudo
rausvinti, rausvina, rausvino
rauti, rauna, rovė
reaguoti, reaguoja, reagavo
realizuoti, realizuoja, realizavo
redaguoti, redaguoja, redagavo
regėti, regi, regėjo
registruoti, registruoja, registravo
reguliuoti, reguliuoja, reguliavo
regzti, rezga, rezgė
reikalauti, reikalauja, reikalavo
reikėti, reikia, reikėjo
reikšti, reiškia, reiškė
reikti, reikia, reikė
rėkauti, rėkauja, rėkavo
reklamuoti, reklamuoja, reklamavo
rekomenduoti, rekomenduoja, rekomendavo
rekonstruoti, rekonstruoja, rekonstravo
rėkti, rėkia, rėkė
remontuoti, remontuoja, remontavo
remti, remia, rėmė
rengti, rengia, rengė
repečkoti, repečkoja, repečkojo
repetuoti, repetuoja, repetavo
restauruoti, restauruoja, restauravo
ręsti, renčia, rentė
retinti, retina, retino
revizuoti, revizuoja, revizavo
rezervuoti, rezervuoja, rezervavo
režisuoti, režisuoja, režisavo
rėžti, rėžia, rėžė
rėžyti, rėžo, rėžė
riaumoti, riaumoja, riaumojo
riboti, riboja, ribojo
ridenti, ridena, rideno
ridėti, rida, ridėjo
riebinti, riebina, riebino
riedėti, rieda, riedėjo
riekti, riekia, riekė
riesti, riečia, rietė
rieti, rieja, riejo
rikiuoti, rikiuoja, rikiavo
rimuoti, rimuoja, rimavo
rinkti, renka, rinko
risnoti, risnoja, risnojo
risti, rita, rito
rizikuoti, rizikuoja, rizikavo
rodyti, rodo, rodė
ropoti, ropoja, ropojo
rūdyti, rūdija, rūdijo
rūgti, rūgsta, rūgo
rūkti, rūksta, rūko
rūkyti, rūko, rūkė
rungtyniauti, rungtyniauja, rungtyniavo
ruošti, ruošia, ruošė
rūpėti, rūpi, rupėjo
rūpinti, rūpina, rūpino
rupti, rumpa, rupo
rusenti, rusena, ruseno
rusinti, rusina, rusino
rūšiuoti, rūšiuoja, rūšiavo
rūstauti, rūstauja, rūstavo
ryšėti, ryši, ryšėjo
ryškėti, ryškėja, ryškėjo
ryti, ryja, rijo
sabotuoti, sabotuoja, sabotavo
sakinėti, sakinėja, sakinėjo
sakyti, sako, sakė
šaldyti, šaldo, šaldė
šalinti, šalina, šalino
šalti, šąla, šalo
samdyti, samdo, samdė
sandėliuoti, sandėliuoja, sandėliavo
šantažuoti, šantažuoja, šantažavo
santykiauti, santykiauja, santykiavo
šaudyti, šaudo, šaudė
saugoti, saugoja, saugojo
šaukti, šaukia, šaukė
šauti, šauna, šovė
savinti, savina, savino
sėdėti, sėdi, sėdėjo
segti, sega, segė
šeimininkauti, šeimininkauja, šeimininkavo
sekinti, sekina, sekino
sekioti, sekioja, sekiojo
sekti, senka, seko
sekti, senka, seko
šėlioti, šėlioja, šėliojo
šėlti, šėlsta, šėlo
semti, semia, sėmė
senti, sensta, seno
sergėti, sergėja, sergėjo
šerkšnyti, šerkšnija, šerkšnijo
šerti, šeria, šėrė
sėsti, sėda, sėdo
sėti, sėja, sėjo
siaurėti, siaurėja, siaurėjo
šiaušti, šiaušia, šiaušė
siausti, siaučia, siautė
siautėti, siautėja, siautėjo
sidabruoti, sidabruoja, sidabravo
siekti, siekia, siekė
sielvartauti, sielvartauja, sielvartavo
sieti, sieja, siejo
sijoti, sijoja, sijojo
šikti, šika, šiko
šildyti, šildo, šildė
silpnėti, silpnėja, silpnėjo
silpninti, silpnina, silpnino
šilti, šyla, šilo
sirgti, serga, sirgo
širsti, širsta, širdo
siūbtelėti, siūbtelėja, siūbtelėjo
siūbtelti, siūbteli, siūbtelėjo
siūlyti, siūlo, siūlė
siurbti, siurbia, siurbė
šiurkšti, šiurkščia, šiurkštė
siųsti, siunčia, siuntė
siusti, siunta, siuto
siūti, siuva, siuvo
siuvinėti, siuvinėja, siuvinėjo
skabyti, skabo, skabė
skaičiuoti, skaičiuoja, skaičiavo
skaidyti, skaido, skaidė
skaityti, skaito, skaitė
skalauti, skalauja, skalavo
skalbti, skalbia, skalbė
skaldyti, skaldo, skaldė
skambėti, skamba, skambėjo
skambinti, skambina, skambino
skanauti, skanauja, skanavo
skandinti, skandina, skandino
skanduoti, skanduoja, skandavo
skaninti, skanina, skanino
skatinti, skatina, skatino
skaudėti, skauda, skaudėjo
skaudinti, skaudina, skaudino
skelbti, skelbia, skelbė
skelti, skelia, skėlė
skenuoti, skenuoja, skenavo
skersti, skerdžia, skerdė
skeryčioti, skeryčioja, skeryčiojo
skėsčioti, skėsčioja, skėsčiojo
skėsti, skečia, skėtė
skęsti, skėsčioja, skėsčiojo
skiepyti, skiepija, skiepijo
skiesti, skiedžia, skiedė
skilti, skyla, skilo
skinti, skina, skynė
skirstyti, skirsto, skirstė
skirti, skiria, skyrė
sklaidyti, sklaido, sklaidė
skleisti, skleidžia, skleidė
sklęsti, sklendžia, sklendė
sklisti, sklinda, sklido
skolinti, skolina, skolino
skraidinti, skraidina, skraidino
skraidyti, skraido, skraidė
skrepliuoti,  skrepliuoja,  skrepliavo
skriausti, skriaudžia, skriaudė
skrieti, skrieja, skriejo
skristi, skrenda, skrido
skrosti, skrodžia, skrodė
skrudinti, skrudina, skrudino
skubėti, skuba, skubėjo
skubinti, skubina, skubino
skursti, skursta, skurdo
skųsti, skundžia, skundė
skusti, skuta, skuto
skutinėti, skutinėja, skutinėjo
šlamėti, šlama, šlamėjo
slankinti, slankina, slankino
slankioti, slankioja, slankiojo
šlapinti, šlapina, šlapino
šlapti, šlampa, šlapo
slaugyti, slaugo, slaugė
slėgti, slegia, slėgė
šlempinti, šlempina, šlempino
šlepsėti, šlepsi, šlepsėjo
slėpti, slepia, slėpė
šliaužti, šliaužia, šliaužė
slidinėti, slidinėja, slidinėjo
šlieti, šlieja, šliejo
slinkti, slenka, slinko
sloguoti, sloguoja, slogavo
slopinti, slopina, slopino
šlovinti, šlovina, šlovino
slūgti, slūgsta, slūgo
šluostyti, šluosto, šluostė
šluoti, šluoja, šlavė
slypėti, slypi, slypėjo
slystelėti, slystelėja, slystelėjo
slysti, slysta, slydo
smaguriauti, smaguriauja, smaguriavo
smaigstyti, smaigsto, smaigstė
smaigyti, smaigo, smaigė
smaližiauti, smaližiauja, smaližiavo
smaugti, smaugia, smaugė
smaukti, smaukia, smaukė
smaukyti, smauko, smaukė
smeigti, smeigia, smeigė
šmeižti, šmeižia, šmeižė
smerkti, smerkia, smerkė
smigti, sminga, smigo
smirdėti, smirdi, smirdėjo
smogti, smogia, smogė
smūgiuoti, smūgiuoja, smūgiavo
smukdyti, smukdo, smukdė
smukti, smunka, smuko
smulkinti, smulkina, smulkino
šnabždėti, šnabžda, šnabždėjo
snausti, snaudžia, snaudė
šnekėti, šneka, šnekėjo
šnekinti, šnekina, šnekino
šnektelėti, šnektelėja, šnektelėjo
šnektelti, šnekteli, šnektelėjo
snerkšti, šnerkščia, šnirkštė
šnerpšti, šnerpščia, šnirpštė
šnibždėti, šnibžda, šnibždėjo
snieguoti, snieguoja, sniegavo
snigti, sninga, snigo
šniokšti, šniokščia, šniokštė
šnipinėti, šnipinėja, šnipinėjo
šniukštinėti, šniukštelėja, šniukštelėjo
šniypšti, šnypščia, šnypštė
šnypšti, šnypščia, šnypštė
sodinti, sodina, sodino
šokinėti, šokinėja, šokinėjo
šokiruoti, šokiruoja, šokiravo
šokti, šoka, šoko
šokuoti, šokuoja, šokavo
sotinti, sotina, sotino
spėlioti, spėlioja, spėliojo
spęsti, spendžia, spendė
spėti, spėja, spėjo
spiegti, spiegia, spiegė
spindėti, spindi, spindėjo
spinduliuoti, spinduliuoja, spinduliavo
spirti, spiria, spyrė
spisti, spinta, spito
spjauti, spjauna, spjovė
spoksoti, spokso, spoksojo
sportuoti, sportuoja, sportavo
spręsti, sprendžia, sprendė
sprogdinti, sprogdina, sprogdino
sprogti, sprogsta, sprogo
sprukti, sprunka, spruko
spustelėti, spustelėja, spustelėjo
spygauti, spygauja, spygavo
srėbti, srėbia, srėbė
sriuobti, sriuobia, sriuobė
stabdyti, stabdo, stabdė
stambėti, stambėja, stambėjo
stambinti, stambina, stambino
statyti, stato, statė
staugti, staugia, staugė
stebėti, stebi, stebėjo
stebinti, stebina, stebino
steigti, steigia, steigė
stigti, stinga, stigo
stingti, stingsta, stingo
stiprėti, stiprėja, stiprėjo
stiprinti, stiprina, stiprino
stipti, stimpa, stipo
stirksoti, stirkso, stirksojo
stodinėti, stodinėja, stodinėjo
stokoti, stokoja, stokojo
storėti, storėja, storėjo
storinti, storina, storino
stoti, stoja, stojo
stovėti, stovi, stovėjo
stovinėti, stovinėja, stovinėjo
stoviniuoti, stoviniuoja, stoviniavo
stovyklauti, stovyklauja, stovyklavo
streikuoti, streikuoja, streikavo
stresuoti, stresuoja, stresavo
strikinėti, strikinėja, strikinėjo
strykinėti, strykinėja, strykinėjo
stryktelėti, stryktelėja, stryktelėjo
studijuoti, studijuoja, studijavo
stulbinti, stulbina, stulbino
stūmėti, stūmi, stūmėjo
stumtelėti, stumtelėja, stumtelėjo
stumti, stumia, stūmė
šturmuoti, šturmuoja, šturmavo
stverti, stveria, stvėrė
stypsoti, stypso, stypsojo
styroti, styro, styrojo
sūdyti, sūdo, sūdė
šūkauti, šūkauja, šūkavo
šukuoti, šukuoja, šukavo
šuoliuoti, šuoliuoja, šuoliavo
sūpuoti, sūpuoja, sūpavo
šurmuliuoti, šurmuliuoja, šurmuliavo
šusti, šunta, šuto
svaidyti, svaido, svaidė
svaigti, svaigsta, svaigo
švaistyti, švaisto, švaistė
svajoti, svajoja, svajojo
švarinti, švarina, švarino
svarstyti, svarsto, svarstė
sveikinti, sveikina, sveikino
sveikti, sveiksta, sveiko
šveisti, šveičia, šveitė
švelninti, švelnina, švelnino
šventinti, šventina, šventino
sverti, sveria, svėrė
švesti, švenčia, šventė
švęsti, švenčia, šventė
šviesėti, šviesėja, šviesėjo
šviesinti, šviesina, šviesino
sviesti, sviedžia, sviedė
šviesti, šviesina, šviesino
svilinti, svilina, svilino
švilpauti, švilpauja, švilpavo
švilptelėti, švilptelėja, švilptelėjo
švilpti, švilpia, švilpė
svilti, svyla, svilo
svirti, svyra, sviro
švisti, švinta, švito
švokšti, švokščia, švokštė
svyruoti, svyruoja, svyravo
švytėti, švyti, švytėjo
šykštėti, šykšti, šykštėjo
šyptelėti, šyptelėja, šyptelėjo
sysioti, sysioja, sysiojo
taikyti, taiko, taikė
taisyti, taiso, taisė
talpinti, talpina, talpino
tampyti, tampo, tampė
tamsėti, tamsėja, tamsėjo
tamsinti, tamsina, tamsino
tankinti, tankina, tankino
tardyti, tardo, tardė
tarkuoti, tarkuoja, tarkavo
tarnauti, tarnauja, tarnavo
tarpininkauti, tarpininkauja, tarpininkavo
tarti, taria, tarė
taškyti, taško, taškė
tašyti, tašo, tašė
taukšti, tauškia, tauškė
taupyti, taupo, taupė
tausoti, tausoja, tausojo
tebebūti, tebebūna, tebebuvo
teigti, teigia, teigė
teikti, teikia, teikė
teisinti, teisina, teisino
teisti, teisia, teisė
tekėti, teka, tekėjo
tekinti, tekina, tekino
tekti, tenka, teko
telkti, telkia, telkė
temdyti, temdo, temdė
tempti, tempia, tempė
temti, temsta, temo
tenkinti, tenkina, tenkino
tepti, tepa, tepė
teršti, teršia, teršė
tęšti, tešia, tėšė
testuoti, testuoja, testavo
težti, tęžta, težo
tiekti, tiekia, tiekė
tiesti, tiesia, tiesė
tikėti, tiki, tikėjo
tikinti, tikina, tikino
tikrėti, tikrėja, tikrėjo
tikrinti, tikrina, tikrino
tiksėti, tiksi, tiksėjo
tikšti, tyška, tiško
tikti, tinka, tiko
tildyti, tildo, tildė
tilpti, telpa, tilpo
tilti, tilsta, tilo
timptelėti, timptelėja, timptelėjo
tingėti, tingi, tingėjo
tinginiauti, tinginiauja, tinginiavo
tingti, tingsta, tingo
tinti, tinsta, tino
tirpdyti, tirpdo, tirpdė
tirpti, tirpsta, tirpo
tirti, tiria, tyrė
tižti, tyžta, tižo
tobulėti, tobulėja, tobulėjo
tobulinti, tobulina, tobulino
tolti, tolsta, tolo
traiškyti, traiško, traiškė
trakštelėti, trakštelėja, trakštelėjo
traktuoti, traktuoja, traktavo
tramdyti, tramdo, tramdė
trankyti, tranko, trankė
transliuoti, transliuoja, transliavo
transportuoti, transportuoja, transportavo
tratėti, trata, tratėjo
traukti, traukia, traukė
traumuoti, traumuoja, traumavo
tremti, tremia, trėmė
treniruoti, treniruoja, treniravo
trenkti, trenkia, trenkė
trepsėti, trepsi, trepsėjo
tręšti, tręšia, tręšė
triesti, triedžia, triedė
trigubinti, trigubina, trigubino
trikdyti, trikdo, trikdė
trikti, trinka, triko
trimituoti, trimituoja, trimitavo
trinti, trina, trynė
triukšmauti, triumškauja, triukšmavo
triumfuoti, triumfuoja, triumfavo
trokšti, trokšta, troško
troškinti, troškina, troškino
trukdyti, trukdo, trukdė
trūkti, trukdo, trukdė
trukti, trunka, truko
trumpėti, trumpėja, trumpėjo
trumpinti, trumpina, trumpino
trupėti, trupa, trupėjo
trupinti, trupina, trupino
trykšti, trykšta, tryško
tujinti, tujina, tujino
tukti, tunka, tuko
tūnoti, tūno, tūnojo
tuokti, tuokia, tuokė
tupėti, tupi, tupėjo
tūpti, tupia, tūpė
turėti, turi, turėjo
tursenti, tursena, turseno
tuštėti, tuštėja, tuštėjo
tušti, tuša, tušo
tuštinti, tuština, tuštino
tūžti, tūžta, tūžo
tvaikti, tvaiksta, tvaiko
tvardyti, tvardo, tvardė
tvarkyti, tvarko, tvarkė
tvarstyti, tvarsto, tvarstė
tvenkti, tvenkia, tvenkė
tverti, tveria, tvėrė
tvinti, tvinsta, tvino
tvirtėti, tvirtėja, tvirtėjo
tvirtinti, tvirtina, tvirtino
tvykstelėti, tvykstelėja, tvykstelėjo
tvyroti, tvyro, tvyrojo
tykoti, tyko, tykojo
tylėti, tyli, tylėjo
tyrinėti, tyrinėja, tyrinėjo
tysoti, tyso, tysojo
ugdyti, ugdo, ugdė
ūkininkauti, ūkininkauja, ūkininkavo
ūkti, ūkia, ūkė
uogauti, uogauja, uogavo
uosti, uodžia, uodė
uostyti, uosto, uostė
urgzti, urzgia, urzgė
utilizuoti, utilizuoja, utilizavo
ūžti, ūžia, ūžė
vadinti, vadina, vadino
vadovauti, vadovauja, vadovavo
vadžioti, vadžioja, vadžiojo
vagiliauti, vagiliauja, vagiliavo
vagoti, vagoja, vagojo
vaidinti, vaidina, vaidino
vaikščioti, vaikščioja, vaikščiojo
vaikštinėti, vaikštinėja, vaikštinėjo
vaikyti, vaiko, vaikė
vainikuoti, vainikuoja, vainikavo
vaipyti, vaipo, vaipė
vairuoti, vairuoja, vairavo
vaisinti, vaisina, vaisino
vaišinti, vaisina, vaisino
vaizduoti, vaizduoja, vaizdavo
vakarieniauti, vakarieniauja, vakarieniavo
valdyti, valdo, valdė
valgydinti, valgydina, valgydino
valgyti, valgo, valgė
valioti, valioja, valiojo
valkatauti, valkatauja, valkatavo
valyti, valo, valė
vanoti, vanoja, vanojo
vardinti, vardina, vardino
vardyti, vardija, vardijo
varginti, vargina, vargino
vargti, vargsta, vargo
varinėti, varinėja, varinėjo
varstyti, varsto, varstė
vartoti, vartoja, vartojo
vartyti, varto, vartė
varvėti, varva, varvėjo
varyti, varo, varė
varžyti, varžo, varžė
vasaroti, vasaroja, vasarojo
vaškuoti, vaškuoja, vaškavo
važinėti, važinėja, važinėjo
važiuoti, važiuoja, važiavo
veblenti, veblena, vebleno
vėdinti, vėdina, vėdino
vedžioti, vedžioja, vedžiojo
veidmainiauti, veidmainiauja, veidmainiavo
veikti, veikia, veikė
veisti, veisia, veitė
veizėti, veizėja, veizėjo
vėjuoti, vėjuoja, vėjavo
vėlinti, vėlina, vėlino
velti, velia, vėlė
vėluoti, vėluoja, vėlavo
vemti, vemia, vėmė
vengti, vengia, vengė
vergauti, vergauja, vergavo
verkšlenti, verkšlena, verkšleno
verkti, verkia, verkė
verpti, verpia, verpė
versti, verčia, vertė
vertėjauti, vertėjauja, vertėjavo
vertėti, vertėja, vertėjo
verti, veria, vėrė
vertinti, vertina, vertino
vešėti, veši, vešėjo
vesti, veda, vedė
vėsti, vėsta, vėso
vežioti, vežioja, vežiojo
vežti, veža, vežė
viduriuoti, viduriuoja, viduriavo
vienodinti, vienodina, vienodino
vienyti, vienija, vienijo
viešeti, vieši, viešėjo
viešėti, vieši, viešėjo
viešinti, viešina, viešino
viešpatauti, viešpatauja, viešpatavo
vilioti, vilioja, viliojo
vilkėti, vilki, vilkėjo
vilkinti, vilkina, vilkino
vilkti, velka, vilko
vilnyti, vilnija, vilnijo
vilti, vilia, vylė
vingiuoti, vingiuoja, vingiavo
virbti, virbsta, virbo
virinti, virina, virino
virkdyti, virkdo, virkdė
virpėti, virpa, virpėjo
virškinti, virškina, virškino
virsti, virsta, virto
viršyti, viršija, viršijo
virti, verda, virė
visti, vysta, viso
vizgėti, vizga, vizgėjo
vizginti, vizgina, vizgino
vogti, vagia, vogė
vožti, vožia, vožė
vykdyti, vykdo, vykdė
vykti, vyksta, vyko
vynioti, vynioja, vyniojo
vyptelėti, vyptelėja, vyptelėjo
vyrauti, vyrauja, vyravo
vysti, vysta, vyto
vystyti, vysto, vystė
vyti, veja, vijo
žabalti, žabąla, žabalo
žadėti, žada, žadėjo
žadinti, žadina, žadino
žagsėti, žagsi, žagsėjo
žaibuoti, žaibuoja, žaibavo
žaisti, žaidžia, žaidė
žaižaruoti, žaižaruoja, žaižaravo
žalėti, žalėja, žalėjo
žalinti, žalina, žalino
žaliuoti, žaliuoja, žaliavo
žaloti, žaloja, žalojo
žavėti, žavi, žavėjo
žeisti, žeidžia, žeidė
želti, želia, žėlė
žemėti, žemėja, žemėjo
žeminti, žemina, žemino
žengti, žengia, žengė
ženklinti, ženklina, ženklino
žėrėti, žėri, žėrėjo
žerti, žeria, žėrė
žiaukčioti, žiaukčioja, žiaukčiojo
žibėti, žiba, žibėjo
žiebti, žiebia, žiebė
žiemoti, žiemoja, žiemojo
žiesti, žiedžia, žiedė
žindyti, žindo, žindė
žingsniuoti, žingsniuoja, žingsniavo
žinoti, žino, žinojo
žiojėti, žioji, žiojėjo
žioplinėti, žioplinėja, žioplinėjo
žiopsoti, žiopso, žiopsojo
žioruoti, žioruoja, žioravo
žiovauti, žiovauja, žiovavo
žirti, žyra, žiro
zirzti, zirzia, zirzė
žiūrėti, žiūri, žiūrėjo
žiūrinėti, žiūrinėja, žiūrinėjo
žlegsėti, žlegsi, žlegsėjo
žlegtelėti, žiegtelėja, žiegtelėjo
žliaugti, žliaugia, žliaugė
žlibti, žlimba, žlibo
žlugdyti, žlugdo, žlugdė
žlugti, žlunga, žlugo
žnybti, žnybia, žnybė
žodžiuoti, žodžiuoja, žodžiavo
žongliruoti, žongliruoja, žongliravo
žudyti, žudo, žudė
žūti, žūva, žuvo
žuvauti, žuvauja, žuvavo
žvalgyti, žvalgo, žvalgė
žvanginti, žvangina, žvangino
žvarbėti, žvarba, žvarbėjo
žvarbti, žvarbsta, žvarbo
žvejoti, žvejoja, žvejojo
žvelgti, žvelgia, žvelgė
žvengti, žvengia, žvengė
žviegti, žviegia, žviegė
žvilgčioti, žvilgčioja, žvilgčiojo
žvilgėti, žvilga, žvilgėjo
žvilgtelėti, žvilgtelėja, žvilgtelėjo
zvimbti, zvimbia, zvimbė
žvygauti, žvygauja, žvygavo
žybėti, žiba, žibėjo
žybsėti, žybsi, žybsėjo
žydėti, žydi, žydėjo
žygiuoti, žygiuoja, žygiavo
žymėti, žymi, žymėjo
žysti, žyra, žiro
zysti, zyzia, zyzė
zyzti, zyzia, zyzė
