aš 	manęs 	man 	mane 	manimi 	manyje
tu 	tavęs 	tau 	tave 	tavimi 	tavyje
jis 	jo 	jam 	jį 	juo 	jame
ji 	jos 	jai 	ją 	ja 	joje
– 	savęs 	sau 	save 	savimi 	savyje
mes 	mūsų 	mums 	mus 	mumis 	mumyse
jūs 	jūsų 	jums 	jus 	jumis 	jumyse
jie 	jų 	jiems 	juos 	jais 	juose
jos 	jų 	joms 	jas 	jomis 	jose
